"Spisová značka","Oblast práva","Věc","Forma zjištění","Datum vydání","Právní věty"," "
"16/2014/SZD","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Vyjádření pro Ústavní soud","20.07.2014","I. Exekuční řízení představuje soubor jednotlivých ""soudních výkonů rozhodnutí"", proto za ""řízení"" podle dřívějšího přechodného ustanovení velké exekuční novely (čl. II bodu 1 zákona č. 396/2012 Sb.) nepovažuji exekuční řízení jako celek. Soudní exekutor je povinen aplikovat občanský soudní řád ve znění velké exekuční novely i v exekučních řízeních zahájených před ní.  II. I kdyby ""řízením"" dle dřívějšího přechodného ustanovení velké exekuční novely (čl. II bodu 1 zákona č. 396/2012 Sb.) bylo pouze exekuční řízení jako celek, muselo by být napadené přechodné ustanovení čl. LII bodu 2 zákona č. 303/2013 Sb. vyloženo ústavně konformně, a to tak, že nedopadá na exekuční příkazy vydané přede dnem nabytí jeho účinností. Nelze je vykládat jako možnost zhojení již dříve vydaných exekučních příkazů. Proto samo o sobě nemá nepřípustné pravé retroaktivní účinky. Riziko nesprávného výkladu ustanovení (zhojení již vydaných exekučních příkazů - pravá retroaktivita) není vadou, pro niž by mělo být zrušeno, nýbrž důvodem pro případné uplatnění opravného prostředku, či ústavní stížnosti v konkrétní věci.",""
"14/2014/VOP","Služební poměry","doba služby / služební pohotovost","Zpráva o šetření - § 17","13.11.2014","V režimu nerovnoměrného rozvržení doby služby (§ 53 odst. 3 zákona o služebním poměru) vedoucí příslušník plánuje služby příslušníků nepravidelně podle skutečných potřeb útvaru. Státní svátek nebo ostatní svátek nemá na toto plánování žádný vliv. Pokud není služba ve svátek naplánována, je příslušník povinen splnit fond služby v jiný den.",""
"14/2014/NZ","Detence - vězeňská zařízení","věznice","Jiné","18.12.2015","",""
"14/2014/NZ","Detence - vězeňská zařízení","věznice","Souhrnná zpráva z návštěv zařízení - § 21a","22.03.2016","",""
"13/2014/NZ","Detence - zařízení sociálních služeb","zařízení poskytující služby bez oprávnění, zařízení sociálních služeb pro seniory","Zpráva z návštěvy zařízení - §21a","04.09.2014","",""
"13/2014/NZ","Detence - zařízení sociálních služeb","zařízení poskytující služby bez oprávnění, zařízení sociálních služeb pro seniory","Sankce (návštěva zařízení, sledování vyhoštění)- § 20","29.01.2015","",""
"10/2014/NZ","Detence - zařízení sociálních služeb","zařízení poskytující služby bez oprávnění, zařízení sociálních služeb pro seniory","Zpráva z návštěvy zařízení - §21a","04.07.2014","",""
"10/2014/NZ","Detence - zařízení sociálních služeb","zařízení poskytující služby bez oprávnění, zařízení sociálních služeb pro seniory","Sankce (návštěva zařízení, sledování vyhoštění)- § 20","29.01.2015","",""
"10/2014/NZ","Detence - zařízení sociálních služeb","zařízení poskytující služby bez oprávnění, zařízení sociálních služeb pro seniory","Sankce (návštěva zařízení, sledování vyhoštění)- § 20","29.01.2015","",""
"9/2014/NZ","Detence - zařízení sociálních služeb","zařízení sociálních služeb pro seniory","Zpráva z návštěvy zařízení - §21a","05.08.2014","",""
"9/2014/NZ","Detence - zařízení sociálních služeb","zařízení poskytující služby bez oprávnění, zařízení sociálních služeb pro seniory","Sankce (návštěva zařízení, sledování vyhoštění)- § 20","29.01.2015","",""
"9/2014/DIS","Diskriminace - jiné","spolupráce s orgány státní správy","Stanovisko (diskriminace) - § 21b","31.03.2014","",""
"8/2014/SZD","Činnost Vězeňské služby ČR","hygienické podmínky, pracovní odměna","Doporučení ke změně předpisů - § 22","10.06.2014","",""
"7/2014/SZD","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Vyjádření pro Ústavní soud","03.04.2014","",""
"6/2014/SZD","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Vyjádření pro Ústavní soud","24.03.2014","",""
"6/2014/PDCJ","","","Čtvrtletní zpráva sněmovně § 24/1 a)","30.01.2014","",""
"5/2014/PDCJ","","","Zpráva sněmovně § 24/1 b)","30.01.2014","",""
"4/2014/PDCJ","","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Detence - doprovody cizinců","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Ostatní nezařazené obory v působnosti ochránce","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Správa na úseku školství","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Dozor a kontrola státu nad územní samosprávou, její ochrana, územní členění","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Správa na úseku podnikání, činnost živnostenských úřadů, ochrana spotřebitele, Česká obchodní inspekce a ostatní působnost  Ministerstva průmyslu a obchodu","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Úřad pro ochranu osobních údajů, Národní bezpečnostní úřad","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Právo na informace","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Vnitřní správa","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Daně, poplatky a cla","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Věci cizinců","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Doprava a spoje","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Armáda, policie a vězeňství","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Armáda, policie a vězeňství","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Přestupky","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Ochrana životního prostředí ","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Stavby a regionální rozvoj","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Pozemkové právo a restituce","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Státní správa soudnictví","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Správa na úseku zdravotnictví","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Ochrana dětí, mládeže a rodiny","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Správa zaměstnanosti a práce","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","Sociální zabezpečení","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/PDCJ","","","Souhrnná zpráva sněmovně § 23/1","18.03.2014","",""
"4/2014/NZ","Detence - zařízení sociálních služeb","zařízení poskytující služby bez oprávnění, zařízení sociálních služeb pro seniory","Sankce (návštěva zařízení, sledování vyhoštění)- § 20","28.08.2014","",""
"4/2014/NZ","Detence - zařízení sociálních služeb","zařízení poskytující služby bez oprávnění, zařízení sociálních služeb pro seniory","Zpráva z návštěvy zařízení - §21a","30.05.2014","",""
"3/2014/SZD","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Vyjádření pro Ústavní soud","31.01.2014","",""
"3/2014/PDCJ","","","Čtvrtletní zpráva sněmovně § 24/1 a)","25.04.2014","",""
"2/2014/PDCJ","","","Čtvrtletní zpráva sněmovně § 24/1 a)","23.07.2014","",""
"2/2014/NZ","Detence - zařízení sociálních služeb","zařízení poskytující služby bez oprávnění, zařízení sociálních služeb pro seniory","Zpráva z návštěvy zařízení - §21a","02.04.2014","",""
"2/2014/NZ","Detence - zařízení sociálních služeb","zařízení poskytující služby bez oprávnění, zařízení sociálních služeb pro seniory","Sankce (návštěva zařízení, sledování vyhoštění)- § 20","29.01.2015","",""
"1/2014/SZD","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Vyjádření pro Ústavní soud","03.11.2014","",""
"1/2014/PDCJ","","","Čtvrtletní zpráva sněmovně § 24/1 a)","29.10.2014","",""
"7904/2013/VOP","Činnost Vězeňské služby ČR","ostatní","Zpráva o šetření - § 18","28.01.2014","I. Zásada materiální pravdy, ovládající kázeňské řízení proti odsouzenému, vyžaduje náležité objasnění okolností kázeňského přestupku a prokázání viny pachateli.  II. Jeví-li se tvrzení domnělého pachatele jako nevěrohodná, je zapotřebí provést další možné důkazy k prokázání či vyloučení jeho viny. Prosté zhodnocení tvrzení domnělého pachatele jako účelového je bez dalších relevantních důkazů nepřezkoumatelné, a tudíž ve vztahu k možné vině zcela neprůkazné.",""
"7838/2013/VOP","Činnost orgánů sociálně-právní ochrany dětí (OSPOD)","výkon sociálně-právní ochrany","Zpráva o šetření - § 18","11.08.2014","Splnění povinnosti orgánu sociálně-právní ochrany dětí vyhovět žádosti o pomoc, kterou podává rodič nebo jiná osoba odpovědna za výchovu dítěte v souvislosti s výchovnými nebo jinými problémy s péčí o dítě (§ 9 a § 11 odst. 1 písm. a/ zákona o sociálně-právní ochraně dětí), předpokládá aktivní přístup orgánu sociálně-právní ochrany dětí k podnětům rodičů. Za splnění uvedených povinností nelze považovat pouhé, jakkoli řádné, vedení spisové dokumentace.",""
"7810/2013/VOP","Dopravně-správní agendy","řidičská oprávnění","Zpráva o šetření - § 18","18.04.2014","I. Rozhoduje-li úřad o zadržení řidičského průkazu (§ 118c a § 118a odst. 1 písm. g/ zákona č. 361/2000 Sb.), musí již ve výroku uvést rozhodné skutečnosti, z nichž dovozuje, že řidič řídil motorové vozidlo bez příslušného řidičského oprávnění. Těmito skutečnostmi je období trvání zákazu činnosti spočívající v zákazu řízení motorových vozidel, či období, kdy po vybodování nesmí řidič řídit vozidlo. Ve výroku dále uvede ustanovení, dle nějž byl řidič povinen požádat o vrácení řidičského oprávnění.  II. Řidič, který je držitelem řidičského průkazu členského státu, řidičského průkazu vydaného cizím státem nebo mezinárodního řidičského průkazu vydaného cizím státem, nepozbývá dosažením hranice 12 bodů v bodovém hodnocení řidiče řidičské oprávnění jako takové (§ 123c odst. 3 zákona č. 361/2000 Sb.), nýbrž jen právo k řízení motorového vozidla na území České republiky po dobu jednoho roku (§ 123c odst. 7 téhož zákona). Hodlá-li po uplynutí této lhůty opět řídit motorová vozidla na území České republiky, není povinen žádat o vrácení řidičského oprávnění (§ 123d téhož zákona).   III. Je-li řidiči, který je držitelem řidičského průkazu členského státu, řidičského průkazu vydaného cizím státem nebo mezinárodního řidičského průkazu vydaného cizím státem, uložen zákaz činnosti spočívající v zákazu řízení motorových vozidel, nepozbývá řidičské oprávnění (§ 94a odst. 1 zákona č. 361/2000 Sb.) a v budoucnu není třeba, aby žádal o jeho vrácení (§ 102 téhož zákona).",""
"7810/2013/VOP","Dopravně-správní agendy","řidičská oprávnění","Závěrečné stanovisko - § 19","13.10.2014","I. Rozhoduje-li úřad o zadržení řidičského průkazu (§ 118c a § 118a odst. 1 písm. g/ zákona č. 361/2000 Sb.), musí již ve výroku uvést rozhodné skutečnosti, z nichž dovozuje, že řidič řídil motorové vozidlo bez příslušného řidičského oprávnění. Těmito skutečnostmi je období trvání zákazu činnosti spočívající v zákazu řízení motorových vozidel, či období, kdy po vybodování nesmí řidič řídit vozidlo. Ve výroku dále uvede ustanovení, dle nějž byl řidič povinen požádat o vrácení řidičského oprávnění.  II. Řidič, který je držitelem řidičského průkazu členského státu, řidičského průkazu vydaného cizím státem nebo mezinárodního řidičského průkazu vydaného cizím státem, nepozbývá dosažením hranice 12 bodů v bodovém hodnocení řidiče řidičské oprávnění jako takové (§ 123c odst. 3 zákona č. 361/2000 Sb.), nýbrž jen právo k řízení motorového vozidla na území České republiky po dobu jednoho roku (§ 123c odst. 7 téhož zákona). Hodlá-li po uplynutí této lhůty opět řídit motorová vozidla na území České republiky, není povinen žádat o vrácení řidičského oprávnění (§ 123d téhož zákona).   III. Je-li řidiči, který je držitelem řidičského průkazu členského státu, řidičského průkazu vydaného cizím státem nebo mezinárodního řidičského průkazu vydaného cizím státem, uložen zákaz činnosti spočívající v zákazu řízení motorových vozidel, nepozbývá řidičské oprávnění (§ 94a odst. 1 zákona č. 361/2000 Sb.) a v budoucnu není třeba, aby žádal o jeho vrácení (§ 102 téhož zákona).",""
